author	comment	vote
锐利修蕊	居然还挺不错！算是超出预期。整部影片最强是它的节奏感，属于那种跟着剧情行经幽暗与明亮，垂直向上，然后见山，见天地，最终见着自己。两次攀登的主线一轻一重，开篇光影拉开即吊着一颗悬着的心，到最后情绪跟随人物着陆，这样观影过程也完成了一次“攀登”。这部电影的主角是那座珠穆朗玛，至于山脚下的人物，各自带着心里的纠结和遗憾，几组人物关系设置也很细腻，没想到会被方五洲和曲松林的故事打动，属于人与人之间多种缘分羁绊。群像叙事，但没有高大全的架构，是我对“山高人为峰”最好的理解。	2347
Cycble	作为类型片或者爱情片，好像都差点意思，但是张译这个人物刻画得还是挺好的，先是因为自己的遗憾犯左倾冒险主义错误，急功近利，过于激进，不管他人死活都给我冲冲冲上上上，后期又因为死了人犯右倾机会主义错误，只言责任，不信科学，一朝被蛇咬十年怕井绳。多少人一生都活在错误里浑然不觉，多少人一生活在错误里觉察了却又跑偏，可又有谁的人生不犯错，犯了错能觉察，觉察了能改掉呢。人生，就是登山，早一步晚一步都是常事，难的是刚刚好，所以，山在那里，去找你的刚刚好，一览众山小吧。	3434
